"Licenced Businesses"
"OBJECTID","ADDRESS","COMDISTNM","COMDISTCD","GETBUSID","EXP_DT","FIRST_ISS_DT","JOBSTATUSDESC","TRADENAME","WEBLCNCTYPEDESC","GLOBALID","LOAD_DATE","HOMEOCCIND","GLOBALID_GUID","lookupDistance"
"36088","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16371239","1724230822000","1692694822000","Licensed","CHERRY HEARTS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX450211911}","1697852496000","Y","null","4,046.94"
"26441","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16265498","1707147063000","1675697463000","Licensed","LESLEY BECK DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412010785}","1697852496000","Y","null","4,046.94"
"26298","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16266256","1705469422000","1674019823000","Licensed","HOME AWAY FROM HOME DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412205754}","1697852496000","Y","null","4,046.94"
"33928","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16287195","1707715840000","1676266240000","Licensed","WHISPERING WILLOWS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX418259832}","1697852496000","Y","null","4,046.94"
"32886","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16310252","1712738053000","1681202053000","Licensed","SHELQERES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424918264}","1697852496000","Y","null","4,046.94"
"36436","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16336273","1716960617000","1685424617000","Licensed","CYNTHIA GHERSI","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX436607647}","1697852496000","Y","null","4,046.94"
"27671","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16265670","1704188637000","1672739037000","Pending Renewal","ARAS CORNER CHILD CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412020665}","1697852496000","Y","null","4,046.94"
"26237","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16298234","1709616647000","1678080647000","Licensed","PANAMA MEJIA DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421014252}","1697852496000","Y","null","4,046.94"
"35898","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16265761","1704691827000","1673242227000","Pending Renewal","TRACY TALBOTT DAY HOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412039901}","1697852496000","Y","null","4,046.94"
"27382","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16264699","1704188627000","1672739027000","Pending Renewal","CASHS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411902014}","1697852496000","Y","null","4,046.94"
"25887","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16307795","1722675133000","1691139134000","Licensed","TAMMI PRIVATE DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424074380}","1697852496000","Y","null","4,046.94"
"23591","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16267536","1705383007000","1673933408000","Pending Renewal","KRAZY ABOUT KIDS","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412445705}","1697852496000","Y","null","4,046.94"
"26614","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16290900","1708407027000","1676957427000","Licensed","I AM A CHILD LEARNING HOUSE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX419075478}","1697852496000","Y","null","4,046.94"
"25827","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16300477","1710860876000","1679324876000","Licensed","SILVIA EFFA","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421487362}","1697852496000","Y","null","4,046.94"
"32926","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16309569","1711698037000","1680162037000","Licensed","AUNTIE DEES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424722612}","1697852496000","Y","null","4,046.94"
"21862","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16272049","1705296714000","1673847114000","Pending Renewal","MICAHS MONKEYS DAYHOME AND PRESCHOOL ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413669513}","1697852496000","Y","null","4,046.94"
"32070","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16271454","1707120302000","1675670702000","Licensed","MACKENZIE TOWNE DAY HOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413484760}","1697852496000","Y","null","4,046.94"
"21473","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16268286","1705296673000","1673847073000","Pending Renewal","KIDZ CLUB DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412653745}","1697852496000","Y","null","4,046.94"
"26239","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16298713","1717494111000","1685958111000","Licensed","CHILD CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421122719}","1697852496000","Y","null","4,046.94"
"29857","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16308926","1711524542000","1679988542000","Licensed","DREAMS AND DISCOVERIES PRESCHOOL ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424558334}","1697852496000","Y","null","4,046.94"
"33913","UNAVAILABLE","MCKENZIE TOWNE                          ","MCT","16284853","1709875805000","1678339805000","Licensed","DAWN DAYHOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX417532117}","1697852496000","Y","null","4,046.94"
"27486","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16264731","1704188628000","1672739028000","Pending Renewal","KRYSTALS  DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411904530}","1697852496000","Y","null","4,606.21"
"25958","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16297988","1709098215000","1677562215000","Licensed","DAWNS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX420903918}","1697852496000","Y","null","4,606.21"
"32930","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16295487","1711011606000","1679475606000","Licensed","SUZIES PLACE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX420273454}","1697852496000","Y","null","4,606.21"
"33322","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16276842","1706247020000","1674797420000","Licensed","DOUGLAS RIDGE GREEN DAY HOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415353502}","1697852496000","Y","null","4,606.21"
"21932","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16265738","1704346208000","1672896608000","Pending Renewal","UMMAS PLAYHOUSE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412024237}","1697852496000","Y","null","4,606.21"
"26048","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16266033","1708000690000","1676551090000","Licensed","RAQUELS DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412162183}","1697852496000","Y","null","4,606.21"
"32786","UNAVAILABLE","DOUGLASDALE/GLEN                        ","DDG","16277998","1706247021000","1674797421000","Licensed","TINY TIKES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX415643700}","1697852496000","Y","null","4,606.21"
"21461","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16269094","1705296683000","1673847083000","Pending Renewal","PJS PLAYHOUSE ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412940902}","1697852496000","Y","null","5,132.45"
"21930","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16265720","1704346208000","1672896608000","Pending Renewal","MS LEKAS CHILD CARE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412023306}","1697852496000","Y","null","5,132.45"
"34207","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16368193","1723802539000","1692266539000","Licensed","JAZZY'S DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX449013305}","1697852496000","Y","null","5,132.45"
"25507","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16301103","1712042549000","1680506549000","Licensed","DALENE DUFFY","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421647055}","1697852496000","Y","null","5,132.45"
"21860","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16271926","1705296713000","1673847113000","Pending Renewal","KIMS MCKENZIE DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413638788}","1697852496000","Y","null","5,132.45"
"26260","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16291973","1708407033000","1676957433000","Licensed","MISS TIFF'S DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX419422489}","1697852496000","Y","null","5,132.45"
"35726","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16270530","1705296700000","1673847100000","Pending Renewal","CHRISTINES DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413285993}","1697852496000","Y","null","5,132.45"
"32081","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16270233","1707208353000","1675758753000","Licensed","JOYTIME DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413258065}","1697852496000","Y","null","5,132.45"
"26196","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16265050","1708508124000","1677058524000","Licensed","CYNTHIA PERALTA","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411960310}","1697852496000","Y","null","5,132.45"
"34772","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16302036","1710937951000","1679401951000","Licensed","CATERPILLARS TO BUTTERFLIES ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421937160}","1697852496000","Y","null","5,132.45"
"26236","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16298309","1710861885000","1679325885000","Licensed","LITTLE TO BIG DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421022689}","1697852496000","Y","null","5,132.45"
"35170","UNAVAILABLE","MCKENZIE LAKE                           ","MCK","16379224","1725427849000","1693891849000","Licensed","CS CHILDCARE ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX453897542}","1697852496000","Y","null","5,132.45"
"26666","UNAVAILABLE","DEER RUN                                ","DRN","16307910","1712219510000","1680683510000","Licensed","IN THE LITTLE HOUSE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX424101772}","1697852496000","Y","null","5,633.88"
"25019","UNAVAILABLE","MAHOGANY                                ","MAH","16364119","1727422818000","1695886818000","Licensed","AVENTURA DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX447305091}","1697852496000","Y","null","5,680.18"
"26124","UNAVAILABLE","MAHOGANY                                ","MAH","16298457","1709971552000","1678435552000","Licensed","LEARNING STEPS DAYHOME ","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421049128}","1697852496000","Y","null","5,680.18"
"21790","UNAVAILABLE","MAHOGANY                                ","MAH","16269292","1705296686000","1673847086000","Pending Renewal","RONDAS DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX413008703}","1697852496000","Y","null","5,680.18"
"32698","UNAVAILABLE","MAHOGANY                                ","MAH","16266306","1704691832000","1673242232000","Pending Renewal","SWEET HOME DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412213662}","1697852496000","Y","null","5,680.18"
"33733","UNAVAILABLE","MAHOGANY                                ","MAH","16265407","1704691825000","1673242225000","Pending Renewal","ROBYNS NEST DAYHOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX412003328}","1697852496000","Y","null","5,680.18"
"27785","UNAVAILABLE","MAHOGANY                                ","MAH","16264798","1704188630000","1672739030000","Pending Renewal","RISE AND SHINE DAY HOME","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX411907575}","1697852496000","Y","null","5,680.18"
"32084","UNAVAILABLE","MAHOGANY                                ","MAH","16275430","1706247018000","1674797418000","Licensed","PTL SCHOOL DAYHOME LIMITED","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX414787179}","1697852496000","Y","null","5,680.18"
"25683","UNAVAILABLE","AUBURN BAY                              ","AUB","16300535","1709616656000","1678080656000","Licensed","THE MUNCHKIN VILLAGE","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX421491217}","1697852496000","Y","null","6,173.80"
"33077","UNAVAILABLE","AUBURN BAY                              ","AUB","16292187","1708407035000","1676957435000","Licensed","LIL PUMPKIN PATCH DAYHOME (THE)","PRIVATE HOME-BASED CHILD CARE","{XXXXXXXX-XXXX-XXXX-XXXX-XXX419517601}","1697852496000","Y","null","6,173.80"
